	Trapezius	Latissimus Dorsi	Serratus Posterior Superior	Serratus Posterior Inferior	Levator Scapulae	Rhomboid Minor	Rhomboid Major	Serratus Anterior	Deltoid	Supraspinatus	Infraspinatus	Teres Minor	Teres Major	Subscapularis	Subclavius	Pectoralis Major	Pectoralis Minor	Coracobrachialis	Biceps Brachii	Brachialis	Triceps Brachii 	Anconeus	Pronator Teres	Flexor Carpi Radialis	Palmaris Longus	Flexor Carpi Ulnaris	Flexor Digitorum Superficialis	Flexor Digitorum Profundus	Flexor Pollicis Longus	Pronator Quadratus	Brachioradialis	Extensor Carpi Radialis Longus	Extensor Carpi Radialis Brevis	Extensor Digitorum	Extensor Digiti Minimi	Extensor Carpi Ulnaris	Supinator	Abductor Pollicis Longus	Extensor Pollicis Brevis	Extensor Pollicis Longus	Extensor Indicis	Abductor Pollicis Brevis	Flexor Pollicis Brevis	Opponens Pollicis	Adductor Pollicis	Palmaris Brevis	Abductor Digiti Minimi	Flexor Digiti Minimi Brevis	Opponens Digiti Minimi	Palmar Interossei 1	Palmar Interossei 2	Palmar Interossei  3	Dorsal Interossei 1	Dorsal Interossei 2	Dorsal Interossei 3	Dorsal Interossei 4	Lumbrical 1	Lumbrical 2	Lumbrical 3	Lumbrical 4	Splenius Capitis	Splenius Cervicis	Iliocostalis Lumborum	Iliocostalis Thoracis	Iliocostalis Cervicis	Longissimus Thoracis	Longissimus Cervicis	Longissimus Capitis	Spinalis Thoracis	Spinalis Cervicis	Spinalis Capitis	Semispinalis Thoracis	Semispinalis Cervicis	Semispinalis Capitis	Multifidus	Interspinalis 1	Interspinalis 2	Interspinalis 3	Interspinalis 4	Interspinalis 5	Interspinalis 6	Interspinalis 7	Interspinalis 8	Interspinalis 9	Interspinalis 10	Interspinalis 11	Interspinalis 12	Rotatores 1	Rotatores 2	Rotatores 3	Rotatores 4	Rotatores 5	Rotatores 6	Rotatores 7	Rotatores 8	Rotatores 9	Rotatores 10	Rotatores 11	Intertransverse 1	Intertransverse 2	Intertransverse 3	Intertransverse 4	Intertransverse 5	Intertransverse 6	Intertransverse 7	Intertransverse 8	Intertransverse 9	Intertransverse 10	Intertransverse 11	Intertransverse 12	Intertransverse 13	Intertransverse 14	Obliquus Capitis Inferior	Obliquus Capitis Superior	Rectus Capitis Posterior Major	Rectus Capitis Posterior Minor	Longus Colli	Longus Capitis	Rectus Capitis Anterior	Rectus Capitis Lateralis	Anterior Scalene	Scalene Minimus	Middle Scalene	Posterior Scalene	Sternocleidomastoid	Platysma	Sternohyoid	Omohyoid	Sternothyroid	Thryohyoid	Stylohyoid	Digastric	Mylohyoid	Geniohyoid	Occipitalis	Frontalis	Orbicularis Oculi	Corrugator Supercilii	Orbicularis Oris	Levator Labii Superioris Alaeque Nasi	Levator Labii Superioris	Zygomaticus Minor	Zygomaticus Major	Levator Anguli Oris	Buccinator	Depressor Anguli Oris	Masseter	Medial Pterygoid	Lateral Pterygoid	Levator Palpebrae Superioris	Lateral Rectus	Medial Rectus	Superior Rectus	Inferior Rectus	Superior Oblique	Inferior Oblique	Tensor Fascia Lata	Gluteus Maximus	Gluteus Medius	Gluteus Minimus	Piriformis	Superior Gemellus	Inferior Gemellus	Obturator Internus	Quadratus Femoris	Semitendinosus	Semimembranosus	Biceps Femoris	Adductor Longus	Adductor Brevis	Adductor Magnus	Gracilis	Obturator Externus	Sartorius	Rectus Femoris	Vastus Lateralis	Vastus Intermedius	Vastus Medialis	Articularis Genus	Psoas Major	Iliacus	Pectineus	Gastrocnemius	Soleus	Plantaris	Popliteus	Flexor Digitorum Longus	Tibialis Posterior	Flexor Hallucis Longus	Peroneus Longus	Peroneus Brevis	Tibialis Anterior	Extensor Hallucis Longus	Extensor Digitorum Longus	Peroneus Tertius	Abductor Hallucis	Flexor Digitorum Brevis	Abductor Digiti Minimi	Abductor Ossis Metatarsi Quinti	Quadratus Plantae	Lumbrical 1	Lumbrical 2	Lumbrical 3	Lumbrical 4	Flexor Hallucis Brevis	Adductor Hallucis	Flexor Digiti Minimi Brevis	Plantar Interossei 1	Plantar Interossei 2	Plantar Interossei 3	Dorsal Interossei 1	Dorsal Interossei 2	Dorsal Interossei 3	Dorsal Interossei 4	Extensor Hallucis Brevis	Extensor Digitorum Brevis	Cricothryoid	Posterior cricoarytenoid	Lateral cricoarytenoid	Transversus arytenoid	Vocalis	Thyroarytenoid	Oblique arytenoid	Aryepiglottic	Thyroepiglottic	External intercostal 1	External intercostal 2	External intercostal 3	External intercostal 4	External intercostal 5	External intercostal 6	External intercostal 7	External intercostal 8	External intercostal 9	External intercostal 10	External intercostal 11	Internal intercostal 1	Internal intercostal 2	Internal intercostal 3	Internal intercostal 4	Internal intercostal 5	Internal intercostal 6	Internal intercostal 7	Internal intercostal 8	Internal intercostal 9	Internal intercostal 10	Internal intercostal 11	Innermost intercostal 1	Innermost intercostal 2	Innermost intercostal 3	Innermost intercostal 4	Innermost intercostal 5	Innermost intercostal 6	Innermost intercostal 7	Innermost intercostal 8	Innermost intercostal 9	Innermost intercostal 10	Innermost intercostal 11	Subcostalis 1	Subcostalis 2	Subcostalis 3	Subcostalis 4	Subcostalis 6	Diaphragm	External oblique	Internal oblique	Transversus abdominis 	Rectus abdominis	Pyramidalis	Quadratus lumborum	
Pterygomandibular Raphe																																																																																																																																																	1																																																																																																																														
Palatine bone																																																																																																																																																				1																																																																																																																											
Pterygoid Fossa																																																																																																																																																				1																																																																																																																											
Sphenoid																																																																																																																																																				1	1	1					1																																																																																																																				
Tarsus																																																																																																																																																						1																																																																																																																									
Annulus of Zinn																																																																																																																																																							1	1	1	1		1																																																																																																																			
Limbus																																																																																																																																																							1	1	1	1																																																																																																																					
Margins of Optic Canal																																																																																																																																																							1	1	1	1																																																																																																																					
Sclera																																																																																																																																																											1	1																																																																																																																			
Orbit																																																																																																																																																						1																																																																																																																									
Iliotibial Band																																																																																																																																																													1	1																																																																																																																	
Ilium																																																																																																																																																														1	1	1														1	1						1																																																																																										
Sacrotuberous Ligament																																																																																																																																																														1						1																																																																																																											
Coccyx																																																																																																																																																														1																																																																																																																	
Femur																																																																																																																																																														1	1	1	1	1	1	1	1			1	1	1	1		1			1	1	1	1	1	1	1	1		1	1																																																																																					
Gluteal Aponeurosis																																																																																																																																																															1																																																																																																																
Ischium																																																																																																																																																																		1	1		1	1	1	1			1																																																																																																				
Obturator Membrane																																																																																																																																																																				1									1																																																																																																		
Tibia																																																																																																																																																																						1	1	1				1		1	1	1	1	1						1		1	1	1				1		1																																																																													
Pes Anserinus																																																																																																																																																																						1						1		1																																																																																																	
Fibula																																																																																																																																																																								1																1				1	1	1	1		1	1	1																																																																												
Pubis																																																																																																																																																																									1	1	1	1										1																																																																																						1	1		
Patella																																																																																																																																																																															1	1	1	1																																																																																													
Synovial Membrane																																																																																																																																																																																			1																																																																																												
Calcaneus																																																																																																																																																																																							1	1	1			1								1	1	1		1															1	1																																																							
Meniscus																																																																																																																																																																																										1																																																																																					
Crural Fascia																																																																																																																																																																																											1		1			1	1	1																																																																													
Foot Distal Phalanx 1 (Hallux)																																																																																																																																																																																													1				1																																																																														
Foot Distal Phalanx 2																																																																																																																																																																																											1							1																						1																																																							
Foot Distal Phalanx 3																																																																																																																																																																																											1							1																						1																																																							
Foot Distal Phalanx 4																																																																																																																																																																																											1							1																						1																																																							
Foot Distal Phalanx 5																																																																																																																																																																																											1							1																																																																													
Navicular																																																																																																																																																																																												1																																																																																			
Interosseous Membrane of Fibula/Tibia																																																																																																																																																																																												1	1			1	1	1																																																																													
Medial Cuneiform 1																																																																																																																																																																																												1		1		1																																																																															
Medial Cuneiform 2																																																																																																																																																																																												1		1		1																																																																															
Medial Cuneiform 3																																																																																																																																																																																												1		1		1													1																																																																		
Cuboid																																																																																																																																																																																												1		1															1																																																																		
Metatarsal 1																																																																																																																																																																																														1		1																			1																																																												
Metatarsal 2																																																														 																																																																																																																														1																		1					1	1																																																											
Metatarsal 3																																																																																																																																																																																												1																		1		1				1	1																																																										
Metatarsal 4																																																																																																																																																																																												1																		1			1				1	1																																																									
Metatarsal 5																																																																																																																																																																																															1				1				1								1			1				1																																																									
Foot Proximal Phalanx 1																																																																																																																																																																																																	1			1									1	1									1																																																								
Foot Proximal Phalanx 2																																																																																																																																																																																																									1										1																																																												
Foot Proximal Phalanx 3																																																																																																																																																																																																										1						1				1																																																											
Foot Proximal Phalanx 4																																																																																																																																																																																																											1						1				1																																																										
Foot Proximal Phalanx 5																																																																																																																																																																																																						1						1			1			1				1																																																									
Foot Middle Phalanx 1																																																																																																																																																																																																																								1																																																							
Foot Middle Phalanx 2																																																																																																																																																																																																		1			1																			1																																																							
Foot Middle Phalanx 3																																																																																																																																																																																																		1			1																			1																																																							
Foot Middle Phalanx 4																																																																																																																																																																																																		1			1																																																																										
Foot Middle Phalanx 5																																																																																																																																																																																																		1			1																																																																										
Foot Flexor Retinaculum																																																																																																																																																																																																				1																																																																											
Plantar Aponeurosis																																																																																																																																																																																																				1	1	1																																																																									
Abductor Digit Minimi																																																																																																																																																																																																							1																																																																								
Flexor Digitorum Longus Tendon																																																																																																																																																																																																								1	1	1	1	1																																																																			
Extensor Digitorum Longus Tendon																																																																																																																																																																																																									1	1	1	1																																																																			
Cricoid Cartilage																																																																																																																																																																																																																									1	1	1																																																				
Arytenoid Cartilage																																																																																																																																																																																																																										1	1	1	1	1	1	1	1																																														
Epiglottis																																																																																																																																																																																																																																1	1																																														
Central Tendon of Diaphragm																																																																																																																																																																																																																																																																								1							
Inguinal Ligament																																																																																																																																																																																																																																																																									1	1	1				
Rectus Sheath																																																																																																																																																																																																																																																																									1						
Thoracolumbar Fascia																																																																																																																																																																																																																																																																										1	1				
Linea Alba																																																																																																																																																																																																																																																																										1	1		1		
Iliolumbar Ligament																																																																																																																																																																																																																																																																														1	
